Pas File Name,Wellbore UWI,License Number,Formatted UWI,Producing Zone,Fluid,Fluid Desc,Interval Top TVD (m),Interval Bottom TVD (m),Interval Top Log,Interval Bottom Log,Test Purpose,Test Type,Test Type Desc,Initial Tubing Pressure (kPa),Final Tubing Pressure (kPa),Initial Casing Pressure (kPa),Final Casing Pressure (kPa),Surface Temperature (C),Well Shut In Date,Final Test Date,Test Duration Hours,Reservoir Temperature (C),Gauge Run Depth TVD (m),Gauge Run Depth TMD (m),Last Measured Pressure at Run Depth (kPa),Pressure Correction (kPa),Representative Pressure at MPP (kPa),Reservoir Pressure Gradient (kPa/m),Representative Average Reservoir Pressure (kPa),Liquid Level CF TVD (m),Gas Gradient (kPa/m),Liquid Gradient (kPa/m)
000000039176000.PAS,100110105720W500,78876,100/11-01-057-20W5/00,CARDIUM CGL,01,Oil,2025.0,2036.0,2025.0,2036.0,Y,03,Bottom Hole - Static Gradient,8523.0,,93.0,,7.15,1999-11-26,2000-01-06,0,69.79,2006.0,,10250.1,,,0.75,,,,
6851190_100-11-06-065-18W5-0-SG-2007-03-31.PAS,100110606518W500,0030802,100/11-06-065-18W5/00,NOTIKEWIN A,02,Gas,1386.5,1390.2,1386.5,1390.2,O,03,Bottom Hole - Static Gradient,863.0,863.0,1251.0,1251.0,,2007-03-27,2007-03-31,0,57.2,,1385.0,1522.03,,1524.1,,,,,
000000240050000.PAS,100110606518W500,0030802,100/11-06-065-18W5/00,NOTIKEWIN A,02,Gas,1386.53,1390.19,1386.53,1390.19,Y,03,Bottom Hole - Static Gradient,1534.0,,1541.0,,,2003-10-22,2003-11-13,0,56.5,1388.05,,1703.23,,,0.13,,,,
000000039175300.PAS,100112205519W500,124020,100/11-22-055-19W5/00,GETHING FM,02,Gas,2617.5,2628.5,2617.5,2628.5,Y,03,Bottom Hole - Static Gradient,2243.0,,0.0,,13.14,1999-12-13,1999-12-29,0,93.55,2619.76,,6318.1,,,6.33,,2075.48,,
7229152_100-12-19-064-19W5-0-SG-2011-07-04.PAS,100121906419W500,0158358,100/12-19-064-19W5/00,NOTIKEWIN,02,Gas,1467.5,1486.5,1467.5,1486.5,O,03,Bottom Hole - Static Gradient,1330.0,1327.0,1333.0,1331.0,,2011-06-30,2011-07-04,0,58.7,,1472.46,1476.61,0.0,1476.61,,,,,
7138937_10032308_GRD.pas,100131405720W500,0415311,100/13-14-057-20W5/00,Cardium,01,Oil,2125.0,2120.1,2352.9,3349.0,I,03,Bottom Hole - Static Gradient,3450.0,3450.0,8295.0,8295.0,,2010-02-19,2010-03-05,0,65.66,2030.1,2044.0,13920.29,4536.34,18456.6,9.091473326437121,,614.2,0.359,7.448
7189442_10012002_GRD.pas,100132205720W500,411840,100/13-22-057-20W5/00,Cardium,02,Gas,1896.5,1919.4,1932.8,2479.0,I,03,Bottom Hole - Static Gradient,3500.0,3500.0,5835.0,5835.0,,2009-12-20,2010-01-08,0,64.46,1852.4,1872.5,12040.11,1337.76,13377.9,7.22192830922047,,704.3,0.356,7.313
7359042_100-13-22-057-20-W5-00-Cardium KK-GRD-2012-12-13.pas,100132205720W500,0411840,100/13-22-057-20W5/00,Cardium KK,01,Oil,1881.7,1919.4,1932.8,2479.0,A,10,AWS - Single-Shot (Static),,,,,5.0,2012-11-27,2012-12-13,0,69.0,,,,,5146.0,,,1476.3,0.262,7.19
7159221_100-13-33-057-20W5-GRD-CARDIUM-2010-07-12.pas,100133305720W500,0418070,100/13-33-057-20W5/00,Cardium,01,Oil,1790.88,1782.75,2000.0,3022.2,I,03,Bottom Hole - Static Gradient,93.0,3546.0,93.0,5283.0,,2010-06-24,2010-07-12,576,63.7,1735.57,1767.19,15066.38,368.4,15434.79,8.893205393196604,,272.7,0.077,7.722
000000214584600.PAS,100133405818W500,282079,100/13-34-058-18W5/00,Cadomin,02,Gas,2270.5,2287.5,2407.5,2424.5,Y,03,Bottom Hole - Static Gradient,6644.0,0.0,0.0,0.0,,2003-03-19,2003-03-19,0,69.49,2274.16,,9285.28,,,3.27,,1745.55,,
000000214586500.PAS,100133405818W502,282079,100/13-34-058-18W5/02,Gething,02,Gas,2249.1,2257.1,2386.0,2394.0,Y,03,Bottom Hole - Static Gradient,9670.0,12176.0,11153.0,13012.0,,2003-03-29,2003-04-19,576,83.26,2253.12,,16937.65,,,8.621,,1975.48,,
6859851_100-14-32-055-14W5-0-SG-2007-05-06.PAS,100143205514W500,0150547,100/14-32-055-14W5/00,GETHING,02,Gas,2129.5,2138.0,2129.5,2138.0,O,03,Bottom Hole - Static Gradient,1721.0,1721.0,1993.0,1993.0,,2007-04-22,2007-05-06,0,75.2,,2129.0,2408.53,,2410.0,,,,,
7116687_09092307_GRD.pas,100151206023W500,409444,100/15-12-060-23W5/00,Cardium,02,Gas,1811.46,1843.02,1838.0,2438.0,I,03,Bottom Hole - Static Gradient,1902.0,1902.0,1885.0,1885.0,,2009-09-04,2009-09-20,0,62.01,1798.3,1820.0,10440.78,1938.88,12379.7,6.884112773174666,,684.5,0.205,4.846
